"OMSTenantId","OrganizationName","Country","StorageTB","LicensesEnabled","LicensesAcquired","LicenseToEnabledRatio","SignalCount","ImpersonationRiskScore","RiskTier","IsBrandNamePattern","IsInstitutionNamePattern","IsFakeNameHint","PooledProvisioningPlausible","TriageLane"
"3c7abdb0-e839-4ee9-80e3-ad0186781632","OFFICE 365 DOMAINS","United Kingdom","14.547","9","3000002","333333.56","3","115","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"e112b87e-db84-4181-b846-60f1d53bc96e","MICROSOFT 365","Vietnam","2.144","5","3000000","600000","3","110","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"1e13f78f-2694-423a-9f48-dd2cc288ed94","MICROSOFT 365","Lithuania","3.216","13","6000000","461538.46","2","92","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"e5f1a3ae-0048-479b-b3fc-58bdd5d0fbd6","AID-OFFICE365","France","1.955","0","0","?","2","92","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"49260145-034d-4a8d-a7d8-ec41cbad0f88","MICROSOFT 365","Thailand","1.502","10","2500000","250000","2","92","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"82f43583-01af-450a-932b-c4ec087f322c","MICROSOFT EDUCATION","Malaysia","2.095","4","8000000","2000000","3","90","CRITICAL","True","False","False","False","Immediate-Brand-Impersonation"
"0d6af5ac-0fb6-4ee6-8c14-f5a9ee8fe560","ARASAKA LIMITED","Hong Kong SAR","79.87","3","3001000","1000333.33","4","85","CRITICAL","False","False","True","False","Immediate-Synthetic-Identity"
"ebbd28be-872f-402c-a7a7-ed267b907a67","MICROSOFT 365","Hong Kong SAR","86.033","6","25","4.17","2","82","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"2424e8dc-01f2-4285-82b2-06f636c904c0","MICROSOFT 365","United States","2.25","4","1020","255","3","80","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
"244854eb-2f27-4976-ae90-ca8eca3f5d77","OFFICE 365","United States","1.187","36","398","11.06","3","80","CRITICAL","True","False","True","False","Immediate-Brand-Impersonation"
